year,Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
1996,SR Tendulkar (IND),32,32,2,1611,137,53.7,1955,82.4,6,9,0,163,17
1996,Saeed Anwar (PAK),36,36,5,1595,115,51.45,1742,91.56,3,10,0,159,20
1996,G Kirsten (SA),29,29,4,1442,188*,57.68,1724,83.64,6,4,1,133,10
1996,Ijaz Ahmed (PAK),38,36,5,1281,117,41.32,1638,78.2,1,9,2,100+,18
1996,PA de Silva (SL),30,29,5,1188,145,49.5,1295,91.73,4,5,2,118,15
1996,Aamer Sohail (PAK),30,30,1,1090,111,37.58,1664,65.5,2,7,2,95,5
1996,ME Waugh (AUS),25,25,2,1059,130,46.04,1381,76.68,4,5,2,89,9
1996,DJ Cullinan (SA),24,24,6,1034,124,57.44,1362,75.91,3,5,1,80,6
1996,ST Jayasuriya (SL),30,29,1,955,134,34.1,849,112.48,2,4,0,111,30
1996,AC Hudson (SA),24,24,1,950,161,41.3,1175,80.85,1,7,2,107,11
1996,WJ Cronje (SA),30,27,3,933,90,38.87,1201,77.68,0,8,1,58,14
1996,M Azharuddin (IND),32,31,7,931,94,38.79,1279,72.79,0,6,1,59,10
1996,Saleem Malik (PAK),35,30,9,904,73*,43.04,1215,74.4,0,6,2,60,9+
1996,MA Taylor (AUS),22,22,0,792,105,36,1223,64.75,1,5,1,68,2
1996,A Jadeja (IND),32,30,7,789,71*,34.3,1023,77.12,0,4,2,52,20
1996,SR Waugh (AUS),21,21,3,777,102*,43.16,1014,76.62,1,7,0,43,8
1996,MG Bevan (AUS),26,23,7,760,79,47.5,1007,75.47,0,7,0,48,1
1996,AP Gurusinha (SL),27,25,0,746,87,29.84,1224,60.94,0,4,2,61,11
1996,RT Ponting (AUS),24,24,1,733,123,31.86,1061,69.08,2,3,4,41,4
1996,SP Fleming (NZ),21,21,2,708,106*,37.26,957,73.98,1,5,0,71,1
1996,BC Lara (WI),15,15,3,692,146*,57.66,745,92.88,3,2,0,74,7
1996,RS Kaluwitharana (SL),30,29,1,685,100*,24.46,667,102.69,1,5,6,89,9
1996,GP Thorpe (ENG),18,18,4,666,89,47.57,910,73.18,0,6,1,50,1
1996,AC Parore (NZ),20,20,2,627,93,34.83,908,69.05,0,4,3,27,8
1996,A Ranatunga (SL),25,23,6,607,75*,35.7,769,78.93,0,2,2,58,4
1996,SG Law (AUS),25,23,2,593,72,28.23,732,81.01,0,4,2,35,4
1996,JN Rhodes (SA),25,21,5,560,121,35,721,77.66,1,2,0,36,2
1996,NJ Astle (NZ),22,22,0,560,120,25.45,812,68.96,2,2,3,45,9
1996,HP Tillakaratne (SL),30,25,6,544,70*,28.63,1070,50.84,0,2,4,25,1
1996,GA Hick (ENG),15,15,1,534,104*,38.14,679,78.64,1,3,1,40,7
1996,S Chanderpaul (WI),18,18,0,515,80,28.61,922,55.85,0,5,0,41,0
1996,CL Cairns (NZ),20,20,1,507,71,26.68,635,79.84,0,2,0,27,18
1996,Inzamam-ul-Haq (PAK),25,23,3,503,67,25.15,655,76.79,0,2,0,37,8
1996,RS Mahanama (SL),26,20,4,491,59,30.68,838,58.59,0,5,3,30,0
1996,NS Sidhu (IND),16,16,0,482,101,30.12,720,66.94,1,3,0,31,3
1996,R Dravid (IND),20,19,2,475,90,27.94,684,69.44,0,3,1,32,1
1996,GW Flower (ZIM),16,16,1,472,91,31.46,777,60.74,0,2,1,39,1+
1996,MA Atherton (ENG),19,19,0,404,85,21.26,710,56.9,0,3,3,29,0
1996,AJ Stewart (ENG),16,16,3,403,64,31,595,67.73,0,1,0,42,3
1996,RG Twose (NZ),12,12,0,391,92,32.58,565,69.2,0,3,0,28,1
1996,CM Spearman (NZ),20,20,0,391,78,19.55,470,83.19,0,2,2,51,2
1996,SV Manjrekar (IND),15,15,1,390,62,27.85,634,61.51,0,3,0,19,3
1996,CZ Harris (NZ),18,17,2,387,130,25.8,519,74.56,1,0,0,23,6
1996,Moin Khan (PAK),24,22,3,386,50*,20.31,520,74.23,0,1,1,19,12
1996,LK Germon (NZ),22,19,5,385,89,27.5,563,68.38,0,3,1,17,1
1996,A Flower (ZIM),16,16,1,372,82,24.8,543,68.5,0,4,1,24,0
1996,RB Richardson (WI),10,10,3,361,93*,51.57,572,63.11,0,2,0,30,3
1996,Wasim Akram (PAK),26,21,4,338,66*,19.88,323,104.64,0,2,2,21,14
1996,NR Mongia (IND),32,25,6,338,69,17.78,476,71,0,1,1,28,1
1996,PV Simmons (WI),11,11,1,336,103*,33.6,509,66.01,1,0,1,29,4
